
"mut1_1":{"Rd": 0.026047012217658816, "Rg": 0.018476599700140667, "Rb": 0.09850142510334038, "Ra": 0.24358747248432905, "a0s": 0.0005524769567894348, "gms": 0.032455285793528334, "hmin": 0.011037494439864442, "mmin": 0.015777883669113545, "qinf": 5.703211218716879, "q10": 1.9983962311960874, "qg": 0.4506373089646469, "qd": 0.5138143381752618, "qa1": 3.5457314123382493, "smax": 7.108761465885894, "sh": 8.268798743403226, "thinf": -48.12586052007154, "thi2": -58.59063166932049, "thi1": -72.51795074188115, "tha": -35.44254315160272, "vvs": 0.8326409327766104, "vvh": -57.74036000372857, "vhalfs": -32.67273829445852, "zetas": 4.647118606764953},
"mut1_2":{"Rd": 0.023295146208431625, "Rg": 0.018171000929932655, "Rb": 0.0649548122758648, "Ra": 0.218530096036155, "a0s": 0.0005728786189523458, "gms": 0.15428807828903585, "hmin": 0.009035693053231722, "mmin": 0.0043432972164303965, "qinf": 5.543846567354532, "q10": 1.9745210922215868, "qg": 1.5569913586266708, "qd": 0.7703230513397812, "qa1": 3.8656279773349542, "smax": 10.931838020043122, "sh": 8.885456227218214, "thinf": -47.73855586624661, "thi2": -32.63698030873872, "thi1": -60.97011594572239, "tha": -34.204493392077694, "vvs": 0.5685021208970538, "vvh": -58.499491078920144, "vhalfs": -26.592647255257283, "zetas": 7.567426629145312},
"mut1_3":{"Rd": 0.02757543527207253, "Rg": 0.015815713979771648, "Rb": 0.19716465652109105, "Ra": 0.3370337295120719, "a0s": 5.11190142796372e-05, "gms": 0.06817083603902846, "hmin": 0.008779886417320951, "mmin": 0.010945533342352076, "qinf": 6.112746066341164, "q10": 2.998952285061489, "qg": 2.486153706450916, "qd": 0.8148734065564099, "qa1": 5.832011076972007, "smax": 6.89831226472624, "sh": 8.527389125268824, "thinf": -47.61240927420196, "thi2": -76.99917821669187, "thi1": -55.64325402240589, "tha": -33.85276619990326, "vvs": 0.9541433966383663, "vvh": -42.08356079254588, "vhalfs": -10.027194713217918, "zetas": 8.593556769464044},
"mut1_4":{"Rd": 0.029999461090199814, "Rg": 0.013676654281952721, "Rb": 0.1308214770128828, "Ra": 0.33006602010999714, "a0s": 0.00017770844353619226, "gms": 0.20740552571643658, "hmin": 0.010699750296386675, "mmin": 0.029224868982235298, "qinf": 5.845384309309399, "q10": 2.9763044726668975, "qg": 1.1346706042636043, "qd": 0.7065185869568688, "qa1": 4.605721982281965, "smax": 13.99710612046615, "sh": 7.889823968564011, "thinf": -46.93853742853385, "thi2": -11.43104561565323, "thi1": -49.07691398159852, "tha": -32.48508646193974, "vvs": 0.33648398792543466, "vvh": -52.68153032301262, "vhalfs": -17.574113433824508, "zetas": 14.78638749994445},
"mut2_1":{"Rd": 0.026716435246460817, "Rg": 0.01688422272088834, "Rb": 0.1923597606826661, "Ra": 0.20025994978892253, "a0s": 0.0003546903101379693, "gms": 0.21848528850979296, "hmin": 0.001850169236167838, "mmin": 0.015860332922704546, "qinf": 5.682006254341998, "q10": 2.26664737662813, "qg": 1.948164495440972, "qd": 0.998816941000199, "qa1": 5.1415885145561715, "smax": 2.067469508188454, "sh": 8.667910765941935, "thinf": -48.28058681639986, "thi2": -43.097992301163586, "thi1": -53.60042787523634, "tha": -39.76613174822474, "vvs": 0.45154111596599206, "vvh": -50.623637706524526, "vhalfs": -32.00322385395582, "zetas": 8.322643167452176},
"mut2_2":{"Rd": 0.022626743930083005, "Rg": 0.010778054278696327, "Rb": 0.15266874955864995, "Ra": 0.2074713871354406, "a0s": 0.0005560875880499915, "gms": 0.09492729272861232, "hmin": 0.010341973617794124, "mmin": 0.0059312798966650385, "qinf": 5.748390804136353, "q10": 2.3202334472668786, "qg": 2.0030131547087713, "qd": 0.26206165223569305, "qa1": 4.782863749818777, "smax": 7.822699496723728, "sh": 7.751461799533229, "thinf": -47.93170246339869, "thi2": -72.10885922461813, "thi1": -61.77486596598876, "tha": -36.03190798738478, "vvs": 2.7364546698704024, "vvh": -45.980443791969336, "vhalfs": -15.164592932758211, "zetas": 14.885516333480643},
"mut2_3":{"Rd": 0.024963728564595968, "Rg": 0.016477269878126376, "Rb": 0.04080841196232546, "Ra": 0.3295755350322342, "a0s": 0.00045723196431688746, "gms": 0.2228943476142019, "hmin": 0.0032702107010790563, "mmin": 0.005407299363425288, "qinf": 5.870179500399932, "q10": 1.9565366930659285, "qg": 2.4689753501720295, "qd": 0.6220924446522371, "qa1": 4.8769887421310365, "smax": 3.2836286664393537, "sh": 9.450075943415188, "thinf": -47.58268433873311, "thi2": -79.86786672453867, "thi1": -62.60626391568943, "tha": -27.27089183082205, "vvs": 0.8675933729679065, "vvh": -57.822964809402414, "vhalfs": -65.56332363604938, "zetas": 11.0300028034054},
"mut2_4":{"Rd": 0.0249796876964657, "Rg": 0.014729583902554914, "Rb": 0.020339389897627985, "Ra": 0.3631818396508736, "a0s": 7.927500412394399e-05, "gms": 0.1339714811095048, "hmin": 0.006455940114855231, "mmin": 0.013548423655824504, "qinf": 6.212333496316934, "q10": 2.0007645280457287, "qg": 1.8245848288016695, "qd": 0.6152495436251258, "qa1": 4.2549924853548955, "smax": 4.305104070459346, "sh": 9.431951635111705, "thinf": -47.65773855965118, "thi2": -67.64674239165802, "thi1": -63.2337689415519, "tha": -23.1832970023731, "vvs": 0.0018683782945014271, "vvh": -49.01149606723476, "vhalfs": -46.192985575561316, "zetas": 7.034617187332341},
"mut3_1":{"Rd": 0.0221867614003379, "Rg": 0.016196284372877276, "Rb": 0.11931521845957807, "Ra": 0.21777607087419726, "a0s": 0.00040388323846948625, "gms": 0.10421225736246645, "hmin": 0.009313089128897218, "mmin": 0.021417182832734586, "qinf": 5.7191013178411945, "q10": 2.995010032679294, "qg": 0.05321501042903684, "qd": 0.8589996317086436, "qa1": 3.4265965230096898, "smax": 7.598072861649193, "sh": 8.553938754620052, "thinf": -47.641955323220046, "thi2": -67.87942782432425, "thi1": -63.62706892329426, "tha": -35.40596349062453, "vvs": 1.361646773835289, "vvh": -53.052117448871506, "vhalfs": -17.359294486389775, "zetas": 12.34126596429237},
"mut3_2":{"Rd": 0.02553719690975449, "Rg": 0.013907845919408557, "Rb": 0.0693200357237159, "Ra": 0.2400468270505505, "a0s": 0.0004708804012519939, "gms": 0.1965370550477192, "hmin": 0.0007532893391339542, "mmin": 0.005354639452862057, "qinf": 5.729837409720129, "q10": 2.875759926135009, "qg": 0.13420912319344974, "qd": 0.9278314837094139, "qa1": 3.9554726327850527, "smax": 5.59163646899785, "sh": 9.366207968363074, "thinf": -47.85910876010121, "thi2": -53.826275680510406, "thi1": -54.41466941828672, "tha": -33.95451292258727, "vvs": 0.25991141853859745, "vvh": -55.61865520027763, "vhalfs": -41.00520284406858, "zetas": 14.890342475415702},
"mut3_3":{"Rd": 0.026307375907152198, "Rg": 0.010351659305911512, "Rb": 0.07416857137972602, "Ra": 0.2836461410119847, "a0s": 0.00018906717169743934, "gms": 0.194172120873566, "hmin": 0.015643977281227274, "mmin": 0.023414248274858752, "qinf": 5.725838306116612, "q10": 1.1679702186357583, "qg": 1.2047662616020016, "qd": 0.8382725560929223, "qa1": 6.214015512870394, "smax": 4.670864113760283, "sh": 8.088710791396341, "thinf": -47.9415691188746, "thi2": -70.79627194908264, "thi1": -58.77896600236174, "tha": -30.760286472788508, "vvs": 1.038912452602087, "vvh": -56.759097823025854, "vhalfs": -19.092968854538, "zetas": 8.33790887700763},
