
"mut1_1":{"Rd": 0.02152708049554059, "Rg": 0.01971846432161931, "Rb": 0.06850060521140405, "Ra": 0.0932694736999882, "a0s": 0.0003978085706237909, "gms": 0.19063845559403503, "hmin": 0.008643773153866309, "mmin": 0.010452214480119546, "qinf": 5.143932708476134, "q10": 2.778419024845597, "qg": 1.065193145307569, "qd": 0.47457144823184205, "qa1": 2.814398685191536, "smax": 8.713942852886412, "sh": 5.520689080696744, "thinf": -48.13536128311153, "thi2": -71.81963702111825, "thi1": -66.19895009188373, "tha": -35.997531895282286, "vvs": 0.038923497137310026, "vvh": -49.95831203790889, "vhalfs": -71.48067582090218, "zetas": 3.0757564239715096},
"mut1_2":{"Rd": 0.02449499806041397, "Rg": 0.01836106456521962, "Rb": 0.08647285453833958, "Ra": 0.20003747535248267, "a0s": 0.0005617267529399072, "gms": 0.1747601832489884, "hmin": 0.0018723140852760908, "mmin": 0.005791846051251103, "qinf": 5.686403675755909, "q10": 2.046862519802475, "qg": 0.6529458027563785, "qd": 0.9818352355167385, "qa1": 4.1622340457961045, "smax": 7.49005378164891, "sh": 8.006261111738326, "thinf": -47.8230294399372, "thi2": -47.63228015268217, "thi1": -62.388313355982426, "tha": -34.46409605924268, "vvs": 0.041470455583143565, "vvh": -44.700029884687915, "vhalfs": -25.38785087015139, "zetas": 3.900659941593171},
"mut1_3":{"Rd": 0.01571391501591268, "Rg": 0.01809344219867082, "Rb": 0.18347963053026964, "Ra": 0.3935316525146802, "a0s": 0.0005451012998155211, "gms": 0.10084534792576866, "hmin": 0.015957131434038412, "mmin": 0.0005923856937056407, "qinf": 6.068871289317232, "q10": 2.9528967929053294, "qg": 2.6676595501099087, "qd": 0.9146149146804128, "qa1": 5.638937077167662, "smax": 7.6784544336729885, "sh": 8.720623472146315, "thinf": -47.92359017177592, "thi2": -79.78149689400192, "thi1": -78.56138219845322, "tha": -33.217013503090044, "vvs": 2.042398075629599, "vvh": -40.29268635066364, "vhalfs": -69.83329539969651, "zetas": 12.6119844088332},
"mut1_4":{"Rd": 0.014125855196310776, "Rg": 0.017946375117675065, "Rb": 0.1168299263462921, "Ra": 0.381879302189149, "a0s": 0.00037410807669178964, "gms": 0.1827517102715575, "hmin": 0.018430890005016437, "mmin": 0.01520631885982843, "qinf": 6.353760895771745, "q10": 2.4484216367538347, "qg": 1.1830834843202638, "qd": 0.27109165573628335, "qa1": 4.23835061739009, "smax": 4.454232834616523, "sh": 9.276220344596156, "thinf": -47.57668285008511, "thi2": -78.37372659462079, "thi1": -57.69558181556598, "tha": -30.819255428769377, "vvs": 0.5897711866523953, "vvh": -53.63623689425682, "vhalfs": -10.87220643514351, "zetas": 14.347827469652838},
"mut2_1":{"Rd": 0.026488672266575884, "Rg": 0.014521555213498124, "Rb": 0.18467051140036536, "Ra": 0.201854755248321, "a0s": 0.0005126713396771124, "gms": 0.23362102543849317, "hmin": 0.002188524241568054, "mmin": 0.011465694968675786, "qinf": 5.452557549687859, "q10": 2.9951508615325375, "qg": 1.714590410731862, "qd": 0.9455820733103606, "qa1": 3.6235354827461483, "smax": 2.51123314930111, "sh": 7.577321951780882, "thinf": -48.115191095696346, "thi2": -28.22215527442445, "thi1": -54.963680366153326, "tha": -38.945544100221525, "vvs": 1.6918621251596284, "vvh": -37.61837241234329, "vhalfs": -33.16787024353937, "zetas": 5.627916084890746},
"mut2_2":{"Rd": 0.024255775751568783, "Rg": 0.008701165748359158, "Rb": 0.14459895567762193, "Ra": 0.20748186502142477, "a0s": 0.0003243488094726221, "gms": 0.17184367997114214, "hmin": 0.01098689768568215, "mmin": 0.018728072149615534, "qinf": 5.849709789721732, "q10": 2.424397510335144, "qg": 0.8733965994552895, "qd": 0.9792211298159677, "qa1": 4.937182527441704, "smax": 5.071454183239197, "sh": 8.992410667909608, "thinf": -48.05918687546327, "thi2": -78.95798621072602, "thi1": -59.40059467833425, "tha": -37.27000659611225, "vvs": 2.0293560418120986, "vvh": -51.20511313878785, "vhalfs": -17.69298165215801, "zetas": 11.509543484042185},
"mut2_3":{"Rd": 0.024700806678183543, "Rg": 0.012596210686410224, "Rb": 0.05439717592267753, "Ra": 0.3499612829685417, "a0s": 0.00046967024064759137, "gms": 0.1752330927367599, "hmin": 0.008285288856627807, "mmin": 0.012930037384748787, "qinf": 6.036958580906197, "q10": 1.770514987255964, "qg": 0.5016738529916192, "qd": 0.534192517774665, "qa1": 5.672764281568236, "smax": 4.104770430506995, "sh": 7.948542171301735, "thinf": -47.48401963112293, "thi2": -78.31327819254938, "thi1": -70.34679999177375, "tha": -24.949731387112195, "vvs": 0.25057889703431624, "vvh": -35.453015463777014, "vhalfs": -54.06467875232228, "zetas": 14.774395547838544},
"mut2_4":{"Rd": 0.026705022831820763, "Rg": 0.019287644123095818, "Rb": 0.008183059002253731, "Ra": 0.3600129082694495, "a0s": 0.0003359267192955269, "gms": 0.014488541227669204, "hmin": 0.009304938315638188, "mmin": 0.01077739589440311, "qinf": 6.189823438875244, "q10": 1.8837350379614384, "qg": 0.3644112062223953, "qd": 0.6918852266716976, "qa1": 5.520529491357438, "smax": 4.589561597636925, "sh": 9.297400135147567, "thinf": -48.63338463758837, "thi2": -73.09397411451931, "thi1": -58.04540342636731, "tha": -19.750649994287272, "vvs": 0.01965980471111678, "vvh": -46.72464142109376, "vhalfs": -30.134897137209872, "zetas": 10.035210713386508},
"mut3_1":{"Rd": 0.020668700494763576, "Rg": 0.012418913166651254, "Rb": 0.11871247256965892, "Ra": 0.21624682967096565, "a0s": 0.0005768740158329621, "gms": 0.2790506112366997, "hmin": 0.0001347649590480338, "mmin": 0.024130839872066698, "qinf": 5.65049166551816, "q10": 2.984583761982851, "qg": 0.6652083052969855, "qd": 0.7465633982403926, "qa1": 2.4468214069575414, "smax": 0.8018545994184354, "sh": 8.312561630997331, "thinf": -47.586154789816455, "thi2": -52.592817264543086, "thi1": -63.62706892329426, "tha": -34.748462650428024, "vvs": 0.6106372010625474, "vvh": -49.72923929290788, "vhalfs": -14.654719230992937, "zetas": 10.072269408258197},
"mut3_2":{"Rd": 0.025909960587237817, "Rg": 0.009985716894960146, "Rb": 0.06928306901315988, "Ra": 0.2400468270505505, "a0s": 0.0004668240162928796, "gms": 0.20362223824252396, "hmin": 0.0016997178208882713, "mmin": 0.0048470698264347425, "qinf": 5.6202853389264975, "q10": 2.536343078273735, "qg": 0.26140282344227667, "qd": 0.8989139808749795, "qa1": 3.9554726327850527, "smax": 3.8208471466141165, "sh": 9.075896915201302, "thinf": -47.682421822598755, "thi2": -58.603641403248886, "thi1": -54.69292659944137, "tha": -33.67926392768192, "vvs": 1.0908299853980725, "vvh": -52.90923428301616, "vhalfs": -20.591120172363098, "zetas": 14.824577145797603},
"mut3_3":{"Rd": 0.028547824108377737, "Rg": 0.010451014740121061, "Rb": 0.07633933179596508, "Ra": 0.3177902821670875, "a0s": 0.00032303759831199053, "gms": 0.2785192167480922, "hmin": 0.017841658797243032, "mmin": 0.020775795321444527, "qinf": 5.725786277486894, "q10": 1.0348835371300864, "qg": 0.19371017305461524, "qd": 0.9625029602547964, "qa1": 6.999978058242549, "smax": 5.075106328359357, "sh": 8.197159472136573, "thinf": -48.04377305275426, "thi2": -61.122119727613516, "thi1": -56.30268167315351, "tha": -29.026836688760643, "vvs": 1.0977645387843435, "vvh": -59.92028991449662, "vhalfs": -45.161167428080944, "zetas": 5.5007385177831525},
